,params,mean_test_accuracy,mean_test_precision,mean_test_recall,mean_test_f1
0,{'alpha': 0},0.7775000000000001,0.7862124842027425,0.763611111111111,0.7738949449302404
1,{'alpha': 1e-05},0.8090277777777779,0.8225467285005756,0.7891666666666667,0.8046206534364154
2,{'alpha': 0.0001},0.8162500000000001,0.8313203134838844,0.7947222222222223,0.8116691798598289
3,{'alpha': 0.001},0.8265277777777778,0.8418876308436068,0.8052777777777778,0.8223431478660552
4,{'alpha': 0.01},0.8406944444444443,0.8558960747867775,0.8202777777777778,0.8369149754094325
5,{'alpha': 1},0.8612500000000001,0.8823636398805457,0.8347222222222221,0.8568990729808282
